age,headshot_percentage,kills_per_death,kills_per_round,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills,Scaling.Mode
26,0.49,1.12,0.73,35,16597,541,1273,3573,2
22,0.341,1.11,0.72,34,3690,7933,365,2570,0
23,0.404,1.01,0.7,39,17463,1682,1374,4633,1
21,0.47,1.13,0.7,23,8438,1139,1047,2043,1
24,0.509,1.13,0.72,24,11909,1109,1291,2755,1
20,0.56,1.1,0.75,26,11123,281,810,2571,1
27,0.288,1.21,0.71,20,5239,10163,896,3609,2
20,0.499,1.03,0.71,12,7217,81,588,1439,1
28,0.466,1.11,0.72,20,16147,682,1674,3702,1
27,0.497,0.85,0.58,8,8478,446,1184,1997,1
25,0.492,1.02,0.71,23,14653,491,1671,3163,3
21,0.547,0.85,0.63,8,4862,51,443,986,2
25,0.27,1.14,0.72,19,3811,9648,323,2619,2
23,0.487,1.06,0.74,33,11491,173,737,2617,1
22,0.509,1.01,0.72,18,7697,1952,774,1946,1
26,0.354,1.12,0.72,19,5033,6700,162,2813,1
24,0.508,1.14,0.75,32,11610,464,1064,2730,2
28,0.459,1.02,0.69,25,24182,774,1270,5790,1
23,0.425,1.17,0.76,27,12322,825,1492,3018,1
21,0.5,0.99,0.58,8,10018,304,436,2273,3
20,0.501,1,0.66,9,7641,280,396,1909,1
25,0.555,1.09,0.71,15,12309,227,535,2959,1
19,0.596,1,0.67,13,10378,287,708,2304,1
30,0.583,0.99,0.67,21,14367,256,1305,3349,1
23,0.252,1.31,0.72,19,3061,14965,1081,3198,1
22,0.512,1.02,0.69,11,7061,335,207,1740,3
24,0.457,1.01,0.68,35,21174,496,2723,4648,1
28,0.516,1.05,0.73,33,19134,187,1158,4483,1
26,0.529,1.12,0.71,24,15721,764,1152,3795,3
25,0.51,0.98,0.67,17,10481,1414,967,2985,3
22,0.407,0.98,0.7,18,12995,909,1666,3301,2
24,0.416,1.14,0.73,10,6151,408,257,1242,1
23,0.484,0.95,0.64,12,13078,722,880,2680,1
25,0.572,1.04,0.76,12,9041,176,336,1910,1
25,0.278,1.18,0.72,18,4048,8877,660,3768,2
27,0.46,1.01,0.73,21,9212,1381,965,2977,1
21,0.294,1.17,0.7,5,1821,5469,127,1434,1
26,0.553,1.06,0.69,20,11910,343,856,2886,2
27,0.366,1.07,0.73,36,14368,12911,1228,7496,1
27,0.407,1.05,0.68,22,14087,2437,1229,3341,1
25,0.557,1.09,0.75,53,21949,1647,1462,5752,2
23,0.58,0.99,0.68,29,16115,1385,1033,4327,1
27,0.459,1.07,0.7,15,10285,819,845,2647,2
32,0.431,0.9,0.62,25,20680,3866,2528,5557,1
28,0.303,1.32,0.78,26,4893,9053,577,2834,1
21,0.463,1.05,0.74,19,9774,202,704,2083,1
27,0.312,1.21,0.76,47,8533,19544,843,7423,2
20,0.544,1.07,0.68,12,7744,206,250,1668,1
21,0.547,0.96,0.68,16,10575,985,704,2483,1
30,0.571,0.95,0.66,13,8323,76,628,1949,3
24,0.529,1.08,0.71,24,22141,195,1006,4923,1
29,0.327,1.17,0.77,23,5082,7983,732,2586,1
22,0.276,1.03,0.71,12,2297,5702,513,1717,1
24,0.544,0.99,0.7,11,6517,435,385,1628,1
23,0.486,1.03,0.69,29,14463,1333,2124,3516,2
24,0.469,1.05,0.68,12,9286,699,999,2238,2
28,0.408,1.1,0.7,33,24818,744,1307,5724,1
20,0.437,0.95,0.65,11,2685,2627,225,1097,2
22,0.554,0.99,0.65,14,7979,266,684,1886,1
22,0.59,1.03,0.68,17,8040,270,487,1954,3
22,0.456,1,0.68,20,11530,1025,1165,2650,1
28,0.31,1.1,0.67,16,2757,7755,510,2413,1
29,0.515,1.03,0.69,22,16608,1422,904,4797,1
25,0.514,0.99,0.66,12,7212,35,210,1502,1
22,0.516,1,0.69,14,7972,166,554,1700,1
24,0.459,1.13,0.7,20,12976,169,1289,2968,1
26,0.492,1.12,0.75,43,17821,260,1602,3691,1
20,0.507,1.07,0.7,5,5686,430,218,1172,1
27,0.47,0.97,0.66,14,11720,259,722,3072,2
19,0.403,1.1,0.69,5,2884,3894,144,1499,1
19,0.403,1.1,0.69,5,2884,3894,144,1499,3
24,0.414,1.07,0.69,23,14530,2790,1111,3670,1
24,0.414,1.07,0.69,23,14530,2790,1111,3670,3
24,0.476,1.14,0.72,33,20139,526,1133,4521,1
19,0.573,1.03,0.65,13,8137,352,426,1897,3
31,0.37,1.05,0.67,14,7782,6195,736,3623,1
31,0.488,0.97,0.65,18,11944,1315,1177,3110,1
25,0.358,1.11,0.71,33,7140,10178,934,3969,1
19,0.629,1.04,0.75,21,7535,60,469,2111,1
32,0.291,1.06,0.69,14,4040,10792,735,3036,2
24,0.524,0.96,0.64,14,8670,486,742,1926,2
24,0.357,1.21,0.75,23,5626,5438,448,2252,1
23,0.458,1.07,0.7,13,8002,175,581,1600,3
23,0.534,1.02,0.67,17,14219,386,1537,3355,2
23,0.325,1.16,0.75,18,3881,10977,630,3478,1
19,0.542,1.1,0.73,16,5662,862,273,1427,2
23,0.497,1.14,0.72,15,7234,619,495,1686,1
20,0.285,1.21,0.77,5,2444,5801,181,1687,1
25,0.507,1.1,0.75,59,25816,1209,592,5875,1
25,0.492,0.9,0.59,10,12602,599,1530,3245,1
26,0.521,1.15,0.76,19,15573,433,876,3028,1
25,0.44,1.06,0.66,19,11159,602,1002,2354,3
19,0.542,0.95,0.63,10,5677,55,595,1261,1
25,0.516,1,0.68,29,14769,532,2188,3151,1
28,0.467,0.99,0.69,19,14370,521,1144,3680,2
22,0.507,1.06,0.72,29,12955,1155,1023,2946,1
30,0.28,1.1,0.71,20,6302,15808,813,4672,2
29,0.506,1.01,0.69,25,17101,113,995,3747,2
26,0.445,0.92,0.65,12,9440,741,724,2226,1
21,0.509,1.04,0.72,33,14899,1015,973,3520,1
31,0.526,1.03,0.7,14,10979,286,662,2520,1
24,0.418,1.15,0.73,38,19111,3089,1848,5436,1
21,0.511,0.96,0.66,14,11360,478,1410,2138,1
24,0.354,1.19,0.74,14,5716,8044,613,2996,1
28,0.537,1.04,0.69,55,26354,1429,1717,6915,1
