name,age,headshot_percentage,kills_per_death,kills_per_round,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills
ZOREE,28,32.30%,1.16,0.72,29,9260,15053,1601,5526
ScreaM,28,68.10%,1.13,0.74,39,20794,276,987,5181
hades,22,29.80%,1.17,0.73,7,3304,6428,111,1896
dennyslaw,22,31.40%,1.15,0.73,31,7579,11496,588,3244
EliGE,25,48.80%,1.11,0.76,55,24503,230,1776,5140
floppy,22,49.40%,1.12,0.74,22,12179,343,627,2551
nex,30,51.50%,1.13,0.74,21,15140,215,1206,4233
cynic,22,40.00%,1.14,0.74,14,7804,1969,826,2157
valde,27,46.80%,1.13,0.74,34,18588,187,1230,3690
hazr,20,56.00%,1.1,0.75,26,11123,281,810,2571
nukkye,24,39.20%,1.13,0.72,17,6305,2657,250,1945
faveN,22,54.20%,1.13,0.74,40,18498,1861,1465,4474
mezii,23,49.70%,1.14,0.72,15,7234,619,495,1686
fer,30,45.00%,1.11,0.75,46,20370,391,2270,4542
Farlig,23,33.60%,1.15,0.72,16,3897,7374,295,2370
JOTA,24,41.60%,1.14,0.73,10,6151,408,257,1242
k0nfig,25,55.70%,1.09,0.75,53,21949,1647,1462,5752
dupreeh,29,50.50%,1.13,0.73,39,26134,1859,2176,6552
Savage,33,37.00%,1.14,0.73,20,6149,4285,1636,2916
Attacker,25,46.40%,1.12,0.75,26,18784,233,1135,3842
dexter,27,48.80%,1.11,0.74,24,13533,867,1145,3241
DJOXiC,29,29.80%,1.15,0.72,8,1914,4730,539,1693
Detrony,31,34.70%,1.13,0.73,11,3310,2430,373,1396
Machinegun,32,50.30%,1.09,0.76,19,5226,1025,319,1663
Magisk,24,47.60%,1.14,0.72,33,20139,526,1133,4521
draken,26,30.90%,1.15,0.72,14,3759,12023,1056,3946
keev,30,29.10%,1.12,0.73,15,1226,6634,1105,2267
felps,25,43.90%,1.09,0.76,25,13991,919,1262,3071
sergej,20,48.20%,1.14,0.73,18,10236,1303,587,2558
pz,22,29.30%,1.13,0.72,8,2227,4198,276,1337
ShahZaM,28,34.00%,1.13,0.73,28,4329,9773,465,3816
exit,25,45.10%,1.17,0.7,13,10562,76,561,2044
Summer,25,48.90%,1.13,0.73,29,15077,2663,1577,4113
Hatz,24,50.90%,1.13,0.72,24,11909,1109,1291,2755
jayzaR,25,36.40%,1.1,0.75,12,3869,3914,331,2166
MICHU,25,50.70%,1.1,0.75,59,25816,1209,592,5875
Ryxxo,25,33.10%,1.14,0.72,15,4026,7747,917,2840
FL1T,21,46.80%,1.13,0.73,27,18437,940,1000,3836
hAdji,26,49.00%,1.12,0.73,35,16597,541,1273,3573
Rickeh,30,37.70%,1.15,0.71,23,8360,5402,670,3105
nicoodoz,21,31.60%,1.15,0.71,12,3419,7679,172,2459
ptr,32,26.00%,1.15,0.71,23,3177,12210,1214,4103
dapr,23,44.10%,1.1,0.73,13,7504,727,851,1992
NaToSaphiX,25,36.80%,1.16,0.7,13,5861,7788,648,3284
meyern,19,54.20%,1.1,0.73,16,5662,862,273,1427
junior,21,29.40%,1.17,0.7,5,1821,5469,127,1434
iDISBALANCE,25,27.00%,1.14,0.72,19,3811,9648,323,2619
autimatic,25,44.30%,1.11,0.74,20,13738,3495,967,4100
YEKINDAR,22,59.10%,1.07,0.75,38,15801,1315,1214,3326
Impulse,26,35.40%,1.12,0.72,19,5033,6700,162,2813
jks,26,52.90%,1.12,0.71,24,15721,764,1152,3795
Liazz,24,45.90%,1.13,0.7,20,12976,169,1289,2968
smike,24,33.10%,1.08,0.75,14,2091,4861,377,1927
shox,30,48.80%,1.11,0.73,50,24448,4160,2720,6910
anarkez,22,30.80%,1.11,0.72,14,2631,8746,408,2127
hallzerk,22,34.10%,1.11,0.72,34,3690,7933,365,2570
broky,21,38.10%,1.15,0.7,16,5531,4868,474,2310
xand,27,50.20%,1.1,0.73,15,6560,224,1177,1581
paz,25,51.20%,1.11,0.72,25,14906,752,919,3471
slaxz-,23,29.50%,1.13,0.7,29,2771,11847,415,2660
CRUC1AL,25,29.00%,1.11,0.72,39,6954,15051,839,4693
fejtZ,24,46.20%,1.1,0.74,20,9002,2361,579,2725
InfrequeNt,27,33.80%,1.11,0.72,8,2367,4240,351,1823
EspiranTo,21,59.90%,1.08,0.74,23,10761,2015,719,3347
WorldEdit,30,28.00%,1.11,0.73,31,5963,13131,1045,4780
QKA,28,40.40%,1.1,0.74,4,2496,2960,537,1562
trk,27,48.20%,1.1,0.73,19,11738,105,865,2797
somebody,27,45.80%,1.1,0.73,31,14963,2229,2071,4110
shroud,28,52.90%,1.12,0.72,9,9072,319,771,2242
Pimp,26,46.60%,1.13,0.72,14,12059,2013,422,3279
boltz,25,39.30%,1.12,0.71,23,18029,174,1286,3973
HObbit,28,46.60%,1.11,0.72,20,16147,682,1674,3702
Brollan,20,52.50%,1.08,0.73,25,14471,262,1234,3065
DD,27,41.90%,1.1,0.74,23,12857,633,930,2814
roeJ,28,55.30%,1.09,0.75,19,13786,52,855,2759
dycha,24,53.60%,1.09,0.73,26,11434,539,861,2778
NikoM,25,46.60%,1.1,0.73,11,6418,505,397,1680
FalleN,31,30.80%,1.15,0.69,32,6574,15689,1414,4540
snatchie,24,29.30%,1.09,0.72,47,6210,17827,1226,4710
shz,24,51.10%,1.11,0.72,17,11209,101,909,2598
chelo,24,60.70%,1.09,0.72,31,12509,536,751,2970
hardzao,21,47.00%,1.13,0.7,23,8438,1139,1047,2043
fame,19,57.70%,1.1,0.73,12,7741,233,302,1670
ofnu,29,48.90%,1.1,0.73,15,11852,85,1040,2564
AnJ,27,50.70%,1.11,0.72,12,5433,404,238,1358
Ethan,22,49.40%,1.09,0.73,30,14005,345,1115,3216
flameZ,19,53.00%,1.07,0.72,16,5493,83,466,1294
b1t,19,67.90%,1.11,0.7,12,6519,202,334,1443
zhokiNg,28,51.00%,1.07,0.75,27,18306,74,1123,3852
SHiPZ,21,50.00%,1.07,0.74,51,22023,3034,1960,5613
Happy,30,41.20%,1.11,0.74,24,17098,2853,1662,5911
acoR,25,38.10%,1.11,0.7,19,6682,8611,683,3218
NikkeZ,27,46.50%,1.07,0.74,13,5822,234,410,1324
COLDYY1,30,55.10%,1.11,0.72,23,13052,572,743,3296
b4rtiN,20,55.10%,1.1,0.71,14,6953,646,539,1841
rigoN,22,55.00%,1.03,0.76,17,5414,548,180,1525
Skadoodle,29,24.80%,1.15,0.68,21,3839,10111,563,3592
flying,21,50.60%,1.07,0.74,7,5742,173,540,1476
pancc,24,53.60%,1.08,0.72,23,8327,113,724,1736
Maka,25,35.80%,1.11,0.71,33,7140,10178,934,3969
koosta,26,37.30%,1.08,0.72,27,7283,6180,1061,3739
Valiance,21,51.60%,1.1,0.7,15,8605,606,486,2079
tucks,25,43.90%,1.1,0.71,12,8633,1246,867,2023
TOR,29,28.90%,1.09,0.72,11,3205,3251,528,1231
olofmeister,30,46.60%,1.1,0.71,31,17746,4005,1357,5331
suNny,27,47.40%,1.07,0.74,36,18561,471,1792,4237
malbsMd,19,62.90%,1.04,0.75,21,7535,60,469,2111
Gratisfaction,26,31.90%,1.12,0.69,19,4576,8064,592,2785
shalfey,20,46.70%,1.12,0.71,0,5469,569,327,1080
SLOWLY,20,59.30%,1.06,0.73,14,7792,101,568,1831
nexa,25,51.00%,1.1,0.7,25,16842,364,1715,3931
rallen,28,43.00%,1.1,0.72,30,21723,3916,1780,5507
Rainwaker,21,42.30%,1.1,0.7,29,16167,492,940,3358
bottle,28,56.80%,1.06,0.73,18,10743,141,952,2511
remix,28,27.30%,1.08,0.71,13,1140,4956,247,1168
ISSAA,25,55.50%,1.09,0.71,15,12309,227,535,2959
JW,27,36.60%,1.07,0.73,36,14368,12911,1228,7496
Sobol,24,52.10%,1.08,0.71,24,11123,231,1151,2466
afro,23,34.80%,1.1,0.69,15,4043,4871,190,1701
iM,23,48.70%,1.06,0.74,33,11491,173,737,2617
Ramz1kBO$$,22,33.80%,1.07,0.73,6,2720,3573,231,1528
HZ,32,49.40%,1.08,0.72,9,6800,46,659,1724
Marcelious,23,31.20%,1.08,0.71,8,2402,4746,267,1543
cajunb,32,41.00%,1.1,0.7,32,19160,5310,1048,6084
tabseN,27,49.00%,1.04,0.73,69,26945,2296,1304,6539
zeph,20,48.40%,1.06,0.74,13,7208,1002,518,1726
mou,30,28.00%,1.1,0.71,20,6302,15808,813,4672
stavn,20,42.90%,1.07,0.73,25,14788,2122,969,3546
REDSTAR,20,48.70%,1.11,0.7,8,7726,2197,215,2006
KRIMZ,28,40.80%,1.1,0.7,33,24818,744,1307,5724
KEi,21,46.30%,1.05,0.74,19,9774,202,704,2083
TeSeS,21,55.30%,1.07,0.72,27,12450,161,615,2577
yay,23,46.70%,1.05,0.72,28,8085,1511,563,2162
FASHR,26,48.80%,1.06,0.72,18,10972,88,607,2144
juanflatroo,25,57.20%,1.04,0.76,12,9041,176,336,1910
sdy,25,50.60%,1.11,0.69,22,14096,741,1463,3308
SicK,23,49.80%,1.07,0.72,16,10613,801,741,2714
NEEX,25,31.30%,1.08,0.72,7,2545,3905,181,1393
Aerial,29,41.60%,1.07,0.72,19,14074,39,1083,2570
loWel,25,47.50%,1.1,0.7,24,13621,302,1086,3346
nin9,24,36.60%,1.1,0.7,8,2604,3064,357,1147
raafa,28,27.40%,1.1,0.69,9,3059,5846,589,2008
Grim,21,48.10%,1.04,0.72,31,12834,130,739,2992
Zellsis,24,46.40%,1.07,0.72,12,7896,583,960,2047
Qikert,23,56.30%,1.09,0.7,24,18090,322,1175,3607
Flarich,25,55.30%,1.1,0.69,19,15374,128,650,3202
rommi,29,50.80%,1.06,0.74,10,7534,57,367,1834
WolfY,23,34.70%,1.11,0.7,7,3317,4460,378,1559
MarKE,24,53.10%,1.09,0.7,10,12507,304,689,2994
cadiaN,27,27.60%,1.1,0.69,24,6605,13070,2144,4790
Lucky,19,40.30%,1.1,0.69,5,2884,3894,144,1499
refrezh,24,49.20%,1.08,0.7,28,13187,814,988,3113
DavCost,26,32.40%,1.09,0.7,28,5078,11946,1134,5142
malta,26,39.60%,1.09,0.69,20,12729,369,1400,2987
Kjaerbye,24,52.90%,1.08,0.71,24,22141,195,1006,4923
Bwills,21,51.00%,1.07,0.71,24,10900,197,911,2523
jkaem,28,51.60%,1.05,0.73,33,19134,187,1158,4483
flusha,28,42.00%,1.08,0.71,34,23260,1373,2914,6307
Snakes,20,43.30%,1.07,0.71,10,4615,785,548,1372
zewsy,25,41.00%,1.06,0.71,21,8186,98,846,1883
Swahn,24,25.70%,1.08,0.7,10,1161,4695,184,1124
STOMP,27,26.10%,1.1,0.7,11,2551,9550,371,2422
aumaN,28,41.70%,1.08,0.71,18,10678,591,1946,2381
n0rb3r7,21,50.90%,1.04,0.72,33,14899,1015,973,3520
motm,22,50.70%,1.06,0.72,29,12955,1155,1023,2946
Hiko,32,53.90%,1.1,0.68,19,12322,242,565,2929
Geniuss,24,56.40%,1.04,0.72,9,5479,81,514,1213
Snax,29,36.60%,1.08,0.7,42,20396,8929,2183,6728
HSK,27,31.10%,1.1,0.7,8,3834,3315,470,1906
Bubzkji,24,50.80%,1.07,0.72,19,11047,874,837,2489
ANDROID,28,50.70%,1.07,0.71,16,10775,609,737,2943
KHTEX,25,45.50%,1.08,0.7,9,7137,1499,612,1717
kabal,27,45.90%,1.07,0.7,15,10285,819,845,2647
LOVEYY,33,52.00%,1.06,0.72,8,8779,860,796,2280
buster,22,47.90%,1.1,0.68,24,15539,2389,636,3695
fleav,21,40.00%,1.04,0.73,10,6725,1731,464,1886
phzy,19,29.20%,1.09,0.68,10,2736,3909,181,1552
twist,27,41.30%,1.06,0.71,52,16619,8144,1155,6023
eraa,20,33.50%,1.06,0.71,11,3661,5245,264,1785
Lucaozy,20,50.70%,1.07,0.7,5,5686,430,218,1172
Davidp,27,39.70%,1.08,0.69,16,9318,739,1122,2278
tb,31,49.90%,1.07,0.7,13,7448,313,1102,2090
dEE,26,33.10%,1.07,0.71,10,2086,4246,512,1468
land1n,28,31.00%,1.1,0.67,16,2757,7755,510,2413
tarik,26,37.80%,1.05,0.71,33,18462,2211,797,4839
REZ,24,49.60%,1.06,0.7,29,18513,979,1004,4320
Kntz,24,47.20%,1.07,0.71,13,7478,103,449,1558
rAge,25,31.80%,1.11,0.67,2,1733,3560,164,1273
JUST,26,55.30%,1.06,0.69,20,11910,343,856,2886
sjuush,23,52.40%,1.07,0.69,15,11236,326,865,2357
max,23,45.80%,1.07,0.7,13,8002,175,581,1600
NK4Y,26,62.10%,1.05,0.71,19,6093,210,496,1808
